Country,State,District,Year,Class Studying,"Schools Surveyed (UOM:Number), Scaling Factor:1","Students Surveyed (UOM:Number), Scaling Factor:1","Average Performance Of Students On E302 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E303 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E304 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E305 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E307 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E309 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E310 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E311 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E313 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E314 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On L304 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On L312 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M301 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M302 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M303 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M304 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M305 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M306 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M309 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M311 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M312 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M317 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M318 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M319 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman And Nicobar Islands,Nicobars,"Calendar Year (Jan - Dec), 2021",3,45,681,69.39,47.13,76.35,64.03,63.76,69.98,78.45,63.95,41.66,75.51,71.27,67.86,55.19,78.89,56.74,75.65,60.46,50.95,39.66,63.31,59.17,84.04,62.51,60.41
India,Andaman And Nicobar Islands,North And Middle Andaman,"Calendar Year (Jan - Dec), 2021",3,81,1299,67.44,56.43,70.93,63.99,59.14,69.09,71.67,57.62,46.22,66.53,63.89,59.16,50.52,71.02,48.9,60.85,61.61,58.64,43.62,61.06,60.61,72.32,52.93,54.41
India,Andaman And Nicobar Islands,South Andamans,"Calendar Year (Jan - Dec), 2021",3,81,1782,63.9,41.36,63.65,48.55,58.63,61.74,60.13,55.49,36.37,52.48,62.11,59.19,44.19,62.76,40.67,49.39,42.76,34.05,36.94,50.09,39.72,64.7,49.64,44.45
India,Andhra Pradesh,Ananthapuramu,"Calendar Year (Jan - Dec), 2021",3,144,3132,52.88,40.79,53.81,42.89,50.92,53.82,59.38,43.69,33.34,47.08,46.9,46.56,40.18,64.05,46.04,54.43,43.41,43.39,39.84,43.06,43.94,57.98,47.13,45.13
India,Andhra Pradesh,East Godavari,"Calendar Year (Jan - Dec), 2021",3,102,2121,59.83,46.13,66.34,50.65,56.04,61.34,67.85,55.84,35.01,57.76,59.88,55.87,46.51,69.04,55.41,60.14,50.6,48.16,47.46,51.69,52.78,68.51,49.55,54.74
India,Andhra Pradesh,Guntur,"Calendar Year (Jan - Dec), 2021",3,180,3948,66.54,51.91,68.23,54.23,63.62,71.99,72.64,59.01,41.18,65.4,66.31,61.41,52.62,73.09,59.16,64.98,58.21,51.6,47.59,56.35,54.11,70.21,61.09,60.79
India,Andhra Pradesh,Krishna,"Calendar Year (Jan - Dec), 2021",3,177,3507,57.54,44.14,60.59,44.15,55.86,60.98,60.98,48.3,39.21,52.47,55.18,51.66,49.64,67.41,47.67,54.66,46.27,44.32,34.61,45.7,44.23,64.45,48.17,47.66
India,Andhra Pradesh,Kurnool,"Calendar Year (Jan - Dec), 2021",3,132,3384,52.41,37.84,57.4,40.85,51.85,62.45,56.77,42.49,31.35,48.27,53.73,50.43,38.59,63.7,41.45,50.33,42.57,38.11,40.34,40.54,48.64,61.52,42.63,52.94
India,Andhra Pradesh,Prakasam,"Calendar Year (Jan - Dec), 2021",3,183,3690,55.39,44.19,56.93,43.96,52.57,57.21,60.52,45.69,31.73,50.97,54.67,49.27,42.31,64.46,48.89,60.81,51.16,43.69,42.59,42.78,47.74,61.32,48.8,45.21
India,Andhra Pradesh,Srikakulam,"Calendar Year (Jan - Dec), 2021",3,123,1887,50.86,41.73,54.48,40.63,50.58,63.29,58.94,44.61,35.27,46.08,51.64,48.18,45.34,64.34,44.29,54.91,43.46,39.34,38.14,51.46,45.63,61.44,47.83,42.74
India,Andhra Pradesh,Visakhapatnam,"Calendar Year (Jan - Dec), 2021",3,174,3909,62.01,45.39,65.42,50.24,60.4,67.61,70.18,53.01,40.36,60.72,63.37,58.92,49.05,72.16,51.98,60.91,53.01,45.53,45.51,53.46,50.26,69.74,55.33,55.47
India,Andhra Pradesh,Vizianagaram,"Calendar Year (Jan - Dec), 2021",3,150,2763,62.86,51.04,71,53.71,59.88,70.57,67.27,56.2,39.17,62.59,64.62,60.74,56.48,75.58,55.16,66.77,56.92,52.02,47.86,53.37,56.73,72.48,55.63,56.38
India,Andhra Pradesh,West Godavari,"Calendar Year (Jan - Dec), 2021",3,159,3120,63.02,47.68,64.29,49.96,56.74,67.16,64.44,52.15,35.13,58.41,59.32,54.6,46.34,71.44,50.28,58.78,52.45,45.01,47.04,49.79,49.92,70.25,56,52.48
India,Arunachal Pradesh,Anjaw,"Calendar Year (Jan - Dec), 2021",3,51,396,78.47,37.33,85.41,57.12,67.61,84.53,81.07,73.1,53.2,81.89,75.09,72.33,51.5,85.25,56.83,77.38,70.69,71.87,30.84,76.06,71.29,83.11,69.75,43.03
India,Arunachal Pradesh,Changlang,"Calendar Year (Jan - Dec), 2021",3,99,1878,54.07,34.84,54.17,45.61,56.22,60.33,55.71,46.57,35.81,48.82,50.33,48.23,37.06,56.14,35.78,42.45,34.91,30.31,36.84,48.14,38.16,56.61,39.03,39.91
India,Arunachal Pradesh,Dibang Valley,"Calendar Year (Jan - Dec), 2021",3,12,126,69.54,51.61,65.88,62.89,71.19,58.92,64.32,50.92,28.8,66.16,67.99,63.11,47.69,74.22,50.15,56.98,52.31,28.5,30.34,62.12,51.28,60.84,50.22,44.28
India,Arunachal Pradesh,East Kameng,"Calendar Year (Jan - Dec), 2021",3,81,1785,56.94,36.41,54.65,49.27,50.69,58.51,57.66,45.61,38.21,52.68,51.28,49.92,38.71,61.92,44.78,49.09,47.88,40.01,29.78,48.61,44.95,55.5,44.23,42.32
India,Arunachal Pradesh,East Siang,"Calendar Year (Jan - Dec), 2021",3,87,1638,58.93,43.69,59.72,50.04,57.72,55.82,62.67,50.35,40.12,53.77,55.94,55.67,39.4,61.76,46.06,50.49,43.19,39.98,37.94,52.3,48.89,58.35,50.62,44.76
India,Arunachal Pradesh,Kamle,"Calendar Year (Jan - Dec), 2021",3,63,804,62.85,44.59,48.21,44.96,52.89,61.3,63.49,44.44,35.31,56.17,51.51,51.16,33.15,65.29,44.97,54.29,42.49,40.56,28.96,44.79,46.75,60.16,49.61,37.88
India,Arunachal Pradesh,Kra Daadi,"Calendar Year (Jan - Dec), 2021",3,84,981,64.51,43.54,66.45,59.55,56.64,62.59,59.15,46.67,39.85,57.8,62.06,54.6,39.53,65.67,51,55.17,42.89,40.06,28.13,41.37,45.89,67.17,47.72,49.15
India,Arunachal Pradesh,Kurung Kumey,"Calendar Year (Jan - Dec), 2021",3,72,1113,58.13,38.91,55.3,47.68,56,59.89,66,43.6,33.34,55.31,55.69,48.82,31.42,61.97,42.84,46.99,40.12,33.33,30.17,48.97,34.25,57.65,41.98,41.2
India,Arunachal Pradesh,Leparada,"Calendar Year (Jan - Dec), 2021",3,45,501,64.52,48.57,60.67,50.38,67.23,69.07,72.59,54.48,46.57,64.6,58.76,55.18,34.27,62.98,51.68,53.24,48.5,40.8,36.65,53.94,42.31,64.75,56.27,45.45
India,Arunachal Pradesh,Lohit,"Calendar Year (Jan - Dec), 2021",3,81,1428,46.43,34.19,49.37,43.47,43.93,50.65,46.74,38.02,35.03,42.37,44.66,40.05,33.89,46.08,37.1,37.16,36.81,28.67,28.73,43.14,35.92,45.81,39.93,39.43
India,Arunachal Pradesh,Longding,"Calendar Year (Jan - Dec), 2021",3,72,1719,46.88,34.49,45.42,42.07,43.89,48.22,51.52,40.54,28.81,41.1,43.49,40.77,31.28,47.8,32.76,36.81,33.27,28.37,35.3,44.09,35.93,46.57,37.7,33.49
India,Arunachal Pradesh,Lower Dibang Valley,"Calendar Year (Jan - Dec), 2021",3,81,1464,49.78,34.14,55.24,43.14,55.62,60.55,51.97,40.14,32.7,49.53,52.87,48.32,38.27,55.98,34.25,39.09,34.73,21.39,29.07,47.76,38.02,55.54,38.4,37.58
India,Arunachal Pradesh,Lower Siang,"Calendar Year (Jan - Dec), 2021",3,66,642,58.42,41.61,63.61,49.32,56.95,53.81,61.33,50.33,36.29,58.95,52.86,50.86,33.54,59.48,38.35,48.55,41.13,38.15,29.86,47.38,38.55,57.08,38.77,34.14
India,Arunachal Pradesh,Lower Subansiri,"Calendar Year (Jan - Dec), 2021",3,78,1128,57.61,36.8,56.94,42.61,56.4,60.12,52.68,40.96,39.39,50.1,50.93,49.36,36.54,57.16,37.59,42.76,39.98,32.44,29.5,47.45,38.13,54.87,42.58,42.32
India,Arunachal Pradesh,Namsai,"Calendar Year (Jan - Dec), 2021",3,90,1584,57.74,43.43,59.03,50.45,58.7,61.29,58.13,51.48,36.59,55.98,54.42,51.87,42.45,65.13,41.27,49.19,39.19,31.94,33.61,52.63,42.26,62.5,45.22,40.62
India,Arunachal Pradesh,Pakke Kessang,"Calendar Year (Jan - Dec), 2021",3,51,561,62.01,40.76,65.12,47.77,56.85,73.02,63.71,61.72,34.77,54.43,60.65,47.36,38.46,68.54,41.48,48.76,44.43,44.05,39.16,50.03,39.04,66.1,45.4,50.48
India,Arunachal Pradesh,Papum Pare,"Calendar Year (Jan - Dec), 2021",3,180.00000000000000000000,3246.00000000000000000000,53.0350000000000000000000,35.2350000000000000000000,57.5250000000000000000000,43.1850000000000000000000,57.7050000000000000000000,63.1700000000000000000000,54.7750000000000000000000,38.3950000000000000000000,33.5550000000000000000000,48.6400000000000000000000,52.1400000000000000000000,49.7950000000000000000000,31.3500000000000000000000,58.4250000000000000000000,42.8450000000000000000000,40.2450000000000000000000,35.4500000000000000000000,27.3150000000000000000000,26.7900000000000000000000,47.1950000000000000000000,35.1100000000000000000000,55.6600000000000000000000,41.9000000000000000000000,41.8900000000000000000000
India,Arunachal Pradesh,Shi Yomi,"Calendar Year (Jan - Dec), 2021",3,42,675,54.87,42.98,62.37,47.9,57.93,64.65,60.88,49.25,43.35,54.48,52.78,48.81,40.08,57.52,49.19,59.56,43.82,43.54,39.43,52.25,42.51,57.91,45.22,45.61
India,Arunachal Pradesh,Siang,"Calendar Year (Jan - Dec), 2021",3,69,960,55.75,34.95,58,36.75,59.61,63.12,50.31,44.12,34.1,55.45,49.82,43.9,28.64,59.25,34.76,39.2,38.64,35.59,32.26,48.57,35.69,53.79,40.17,46.26
India,Arunachal Pradesh,Tawang,"Calendar Year (Jan - Dec), 2021",3,108,1428,59.58,42.11,62.23,51.86,55.96,65.77,64.35,52.25,36.51,54.24,57.87,54.87,41.92,67.81,40.34,52.09,46.23,31.17,38.48,53.63,43.65,64.75,53.84,47.48
India,Arunachal Pradesh,Tirap,"Calendar Year (Jan - Dec), 2021",3,84,1383,53.49,40.41,53.87,45.54,55.46,60.28,50.46,42.53,29.77,50.56,50.12,46.88,36.26,57.46,32.7,41.04,36.92,30.06,24.42,46.28,35.61,54.18,41.78,40.14
India,Arunachal Pradesh,Upper Siang,"Calendar Year (Jan - Dec), 2021",3,81,1233,61.72,52.53,68.98,63.95,66.59,67.88,64.86,58.88,54.67,63.64,59.13,57.47,43.73,69.92,59.93,63.52,55.33,51.68,45.79,57.31,51.51,67.79,59.21,56.16
India,Arunachal Pradesh,Upper Subansiri,"Calendar Year (Jan - Dec), 2021",3,78,1344,50.63,31.51,49.8,39.53,45.1,54.14,50.71,35.47,31.33,42.02,47.03,41.92,34.03,58.2,38.09,46.13,36.74,32.71,34.18,44.06,33.78,54.53,40.06,34.16
India,Arunachal Pradesh,West Kameng,"Calendar Year (Jan - Dec), 2021",3,108,1812,55.9,43.36,62.66,44.98,55.66,64.08,59.74,42.4,38.51,56.35,53.36,47.74,38.45,63.73,41,39.32,41,37.24,27.07,53.89,37.93,58.71,47.26,45.4
India,Arunachal Pradesh,West Siang,"Calendar Year (Jan - Dec), 2021",3,75,1305,50.86,34.68,45.06,45.4,52.34,58.34,49.46,38.64,33.1,44.69,45.38,39.94,26.86,55.07,34.28,36.55,32.33,24.95,24.92,45.62,38.1,47.21,38.73,36.58
India,Assam,Baksa,"Calendar Year (Jan - Dec), 2021",3,120,2073,68.8,54.73,66.84,61.1,70.67,71.86,74.54,56.79,47.42,68.18,65.93,62.05,43.31,75.51,57.28,67.26,48.91,54.01,44.68,61.46,51.86,76.42,57.33,45.46
India,Assam,Barpeta,"Calendar Year (Jan - Dec), 2021",3,99,1854,72.84,64.67,73.79,59.23,74.44,70.56,81.3,62.31,54.19,74.22,71.8,64.57,52.17,82.16,62.81,75.98,59.12,62.26,56.18,67.69,64.06,79.11,67.34,59.94
India,Assam,Biswanath,"Calendar Year (Jan - Dec), 2021",3,102,2064,67.62,51.56,66.12,54.35,65.5,60.44,72.25,58.2,42.73,66.26,65.11,59.57,44.06,69.81,52.63,63.64,49.54,48.18,49.17,62.94,51.55,71.63,54.82,58.52
India,Assam,Bongaigaon,"Calendar Year (Jan - Dec), 2021",3,99,2082,70.69,60.72,75.13,59.47,74.13,73.45,79.64,65.3,54.25,75.32,70.38,62.94,59.87,81.46,62.06,71.13,62.86,56.8,55.71,70.84,64.34,81.17,68.18,57.5
India,Assam,Cachar,"Calendar Year (Jan - Dec), 2021",3,120,2565,66.15,53.44,73.99,58.97,74.14,77.59,77.61,56.86,46.89,67.67,70.13,64.91,52.18,77.6,63.89,69.49,63.38,53.88,49.27,62.69,61.09,78.32,64.61,56.91
India,Assam,Charaideo,"Calendar Year (Jan - Dec), 2021",3,105,1839,76.44,64.47,74.03,61.25,76.82,74.4,80.8,68.88,52.09,76.75,75.63,71.81,49.25,79.85,71.65,77.51,65.86,65.25,50.15,68.39,61.43,82.8,65.15,66.08
India,Assam,Chirang,"Calendar Year (Jan - Dec), 2021",3,102,1728,54.99,44.05,54.94,44,52.98,57.46,66.29,44.84,42.91,51.79,53.17,47.63,41.32,64.95,50.03,60.87,47.26,49.38,32.77,54.57,41.86,63.34,51.37,43.83
India,Assam,Darrang,"Calendar Year (Jan - Dec), 2021",3,90,2037,60.91,47.71,59.75,44.73,59.48,58.82,63.5,53.14,38.83,58.7,54.41,48.01,42.14,71.04,51.23,58.93,54.17,47.07,51.36,55.57,52.2,71.13,54.41,42
India,Assam,Dhemaji,"Calendar Year (Jan - Dec), 2021",3,120,2088,73.75,54.52,71.45,60.78,69.81,71.3,76.28,60.78,50.91,72.33,71.89,66.62,56.29,75.9,67.09,74.62,62.86,56.4,49.94,67.02,60.29,76.7,64.85,59.64
India,Assam,Dhubri,"Calendar Year (Jan - Dec), 2021",3,87,1839,71.11,55.57,70.26,51.01,62.07,66.53,78.54,63.96,46.08,67.09,68.2,61.85,45.61,77.67,65.44,72.43,61,64.4,56.29,67.3,59.13,77.51,63.68,52.82
India,Assam,Dibrugarh,"Calendar Year (Jan - Dec), 2021",3,132,2667,61.43,49.56,65.35,47.66,59.55,61.86,63.54,50.72,40.67,57.58,58.63,54.71,47.37,64,50.03,54.74,47.24,42.95,32.92,54.89,42.14,64.38,54.49,45.07
India,Assam,Dima Hasao,"Calendar Year (Jan - Dec), 2021",3,135,2043,69.11,49.49,74.04,59.91,70.15,74.7,70.45,53.09,49.57,72.35,67.28,64.71,46.49,74.33,59.67,62.66,60.87,49.33,36.45,60.09,58.71,74.67,56.94,56.58
India,Assam,Goalpara,"Calendar Year (Jan - Dec), 2021",3,99,2160,72.3,51.93,66.68,57.63,70.72,68.89,72.37,59.41,46.82,70.01,68.86,63.45,44.52,75.89,66.36,72.79,61.7,56.88,54,61.43,57.84,78.92,62.09,59.56
India,Assam,Golaghat,"Calendar Year (Jan - Dec), 2021",3,114,2016,67.78,50.84,73.46,54.95,68,67.49,74.69,58.75,47.76,67.61,67.64,61.45,48.04,70.71,57.17,65.75,55.18,50.33,45.94,58.91,53.64,75.4,57.27,55.58
India,Assam,Hailakandi,"Calendar Year (Jan - Dec), 2021",3,108,1854,72.55,66.77,74.66,63.25,76.98,71.6,79.03,63.24,56.17,73.85,74.22,71.28,52.3,78.63,74.37,75.52,72.66,59.61,52.95,63.81,64.04,81.41,68.59,68.79
India,Assam,Hojai,"Calendar Year (Jan - Dec), 2021",3,84,2109,67.5,58,63.04,54.81,62.89,59.23,69.2,54.79,41.81,59,62.71,55.2,49.74,70.19,57.99,64.84,56.13,49.61,49.7,60.93,55.74,67.02,59.11,53.8
India,Assam,Jorhat,"Calendar Year (Jan - Dec), 2021",3,123,2385,72.9,57.71,74.56,56.44,71.51,74.65,75.67,61.32,52.97,72.76,70.44,68.13,53.07,77.13,60.05,68.5,56.09,53.71,44.03,64.32,56.88,76.84,65.99,63.43
India,Assam,Kamrup,"Calendar Year (Jan - Dec), 2021",3,111,2328,63.42,51.01,66.18,54.12,64.7,61.63,69.75,55.95,44.37,63.68,61.65,56.78,51.38,71.12,57.45,65.12,56.12,53.86,45.41,59.26,52.1,70.43,55.61,53.04
India,Assam,Kamrup Metro,"Calendar Year (Jan - Dec), 2021",3,111,2544,59.5,44.53,61.82,46.72,59.53,68.73,62.67,45.75,41.04,57.87,59.22,56.4,41.61,64.45,46.82,51.98,45.39,36.72,35.03,52.14,42.73,65.31,52.73,46.53
India,Assam,Karbi Anglong,"Calendar Year (Jan - Dec), 2021",3,120,2451,53.53,38.28,50.64,41.85,53.39,53.8,54.23,40.67,32.78,45.98,48.13,45.12,32.4,58.38,36.06,42.42,36.94,31.34,31.52,46.82,36.28,62,43.17,38.71
India,Assam,Karimganj,"Calendar Year (Jan - Dec), 2021",3,102,2022,60.57,51.22,65.69,53.88,68.05,62.35,67.07,54.58,38.98,61.03,60.86,57.12,46.84,69.4,56.08,62.92,54.12,53.45,47.91,54.82,55.9,70.01,57.23,53.67
India,Assam,Kokrajhar,"Calendar Year (Jan - Dec), 2021",3,114,2043,67.75,49.47,63.64,54.66,60.88,60.8,70.91,56.3,44.49,63.39,63.36,58.28,49.89,72.73,59.13,65.08,57.39,53.87,46.89,59.55,56.97,70.23,58.68,52.75
India,Assam,Lakhimpur,"Calendar Year (Jan - Dec), 2021",3,108,2055,66.62,47.51,61.32,48.64,63.22,63.26,70.43,53.22,41.08,62.01,60.65,55.75,42.87,67.83,49.58,64.12,51.92,50.94,37.06,56.33,51.91,71.39,54.32,48.48
India,Assam,Majuli,"Calendar Year (Jan - Dec), 2021",3,126,1650,74.38,55.15,76.59,62.54,73.59,73.59,78.47,60.4,49.79,76.13,73.14,66.63,54.85,78.92,70.52,76.65,65.8,62.98,55.75,66.31,60.12,80.91,65.56,61.89
India,Assam,Marigaon,"Calendar Year (Jan - Dec), 2021",3,96,2241,74.11,61.79,72.41,60.55,68.09,70.48,80.91,67.17,49.73,75.29,72.35,65.22,55.3,79.68,68.33,75.71,63.87,65.82,61.1,69.4,62.93,80.59,68.16,61.58
India,Assam,Nagaon,"Calendar Year (Jan - Dec), 2021",3,93,2064,68.57,58.65,72.26,56,60.98,62.71,68.33,52.15,46.27,64.25,63.07,57.81,48.23,71.71,55.29,63.74,58.33,51.73,47.87,57.91,50.76,68.35,56.35,49.32
India,Assam,Nalbari,"Calendar Year (Jan - Dec), 2021",3,105,2010,76.23,58.41,78.35,59.37,71.73,76.22,83.26,62.64,50.67,74.93,71.59,65.36,51.05,80.8,67.6,79.02,68.22,64.52,53.83,69.16,62.12,83.01,69.6,61.82
India,Assam,Sivasagar,"Calendar Year (Jan - Dec), 2021",3,126,2148,74.78,54.59,73.06,56.83,70.34,73.08,76.88,62.75,50.9,72.63,69.59,61.61,54.2,77.74,62.28,68.53,59.12,57.48,46.11,71.55,56.47,77.07,67.68,61.41
India,Assam,Sonitpur,"Calendar Year (Jan - Dec), 2021",3,108,2565,63.05,51.23,67.2,55.88,60.89,65.57,63.81,55.18,43.09,62.37,63.19,58.99,46.64,68.95,51.2,59.24,50.34,51.25,40.87,60.89,47.05,72.7,53.89,48.9
India,Assam,South Salmara Mancachar,"Calendar Year (Jan - Dec), 2021",3,69,1824,67.85,54.54,63.45,57.72,66.83,68.57,74.7,60.69,46.46,63.62,65.71,59.79,53.32,78.01,66.82,69.77,62.34,63.54,56.64,60.56,59.58,79.93,68.16,49.87
India,Assam,Tinsukia,"Calendar Year (Jan - Dec), 2021",3,102,2187,67.99,49.3,70.29,57.76,64.18,65.21,70.24,61.05,48.4,64.95,65.87,59.16,44.13,69.97,49.5,63.68,55.58,53.15,45.41,63.83,53.94,74.54,59.27,58.53
India,Assam,Udalguri,"Calendar Year (Jan - Dec), 2021",3,111,2064,69.75,50.61,71,63.97,70.81,66.5,71.09,61.07,49.62,68.97,67.77,61.29,49.25,77.23,63.2,72.79,63.88,54.2,46.97,60.46,57.75,75.34,61.79,53.01
India,Assam,West Karbi Anglong,"Calendar Year (Jan - Dec), 2021",3,108,2052,57.86,39.67,58.53,50.69,57.14,60.63,63.57,48.42,43.33,56.77,56.99,51.89,37.21,65.39,46.27,56.61,49.52,41.61,38.5,49.51,49.54,66.48,51.32,37.98
India,Bihar,Araria,"Calendar Year (Jan - Dec), 2021",3,105,2541,44.97,42.45,48.5,49.45,51.41,49.85,57.12,42.71,31.76,50.48,51.41,44.65,39.63,59.31,50.53,53.98,43.99,35.06,28.76,50.5,37.96,60.45,46.49,35.47
India,Bihar,Arwal,"Calendar Year (Jan - Dec), 2021",3,69,1458,53,41.8,56.49,50.11,60.24,54.22,56.13,46.24,34.08,53.93,60.04,51.77,40.88,66.24,48.95,64.53,48.82,40.09,34.08,44.21,45.46,66.98,50.83,47.89
India,Bihar,Aurangabad,"Calendar Year (Jan - Dec), 2021",3,102,2139,62,53.93,64.73,57.34,68.84,62.01,70.2,54.16,41.3,67.01,65.42,55.02,43.73,75.68,58.72,69.14,57.98,49.16,44.53,55.76,48.88,75.56,59.62,49.37
India,Bihar,Banka,"Calendar Year (Jan - Dec), 2021",3,126,2322,49.18,40.21,52.48,45.72,56.38,50.56,57.37,39.55,31.89,50.56,50.39,44.3,33.6,56.59,40.84,52.1,45.45,40.64,31,46.63,43.03,57.18,44.59,38.47
India,Bihar,Begusarai,"Calendar Year (Jan - Dec), 2021",3,108,2205,53.53,44.32,59.81,53.2,57.43,58.44,62.33,40.83,33.69,57.25,57.89,52.39,47.93,63.87,54.48,61.54,46.82,41.98,39.4,46.85,50.99,68.19,53.81,46.47
India,Bihar,Bhagalpur,"Calendar Year (Jan - Dec), 2021",3,105,2424,53.49,48.05,57.98,48.92,59.16,57.06,61.64,46.68,39.33,54.9,56.43,52.47,43.01,65.81,55.9,61.76,51.66,46.08,35.74,49.31,45.03,65.77,52.21,48.44
India,Bihar,Bhojpur,"Calendar Year (Jan - Dec), 2021",3,105,2424,61.35,52.36,64.19,57.28,69.44,64.61,68.5,50.25,43.43,65.64,64.02,56.54,41.02,70.67,57.86,68.32,55.5,44.9,37.94,53.26,48.13,74.55,56.59,44.51
India,Bihar,Buxar,"Calendar Year (Jan - Dec), 2021",3,114,2352,56.28,50.27,59.87,52.72,59.7,59.27,58.69,49.05,39.25,57.31,59.11,53.88,44.17,66.75,56.49,61.2,49.29,49.12,35.69,50.64,52.99,66.67,52.39,42.81
India,Bihar,Darbhanga,"Calendar Year (Jan - Dec), 2021",3,111,2442,57.46,49.01,67.32,52.27,64.18,65.96,68.68,49.62,43.7,60.5,62.32,56.32,47.65,69.24,60.9,61.57,55.62,48.71,36.53,56.68,52.67,73.95,55.38,52.7
India,Bihar,Gaya,"Calendar Year (Jan - Dec), 2021",3,102,2124,54.38,45.79,58.45,47.7,62.27,60.28,61.62,45.97,37.93,57.73,59.08,54.05,35.38,70.7,55.19,62.06,50.32,42.58,37.61,54.06,44.09,69.51,55.94,43.97
India,Bihar,Gopalganj,"Calendar Year (Jan - Dec), 2021",3,108,2145,71.01,67.49,72.99,65.82,67.45,73.7,83.05,61.78,47.84,76.21,74.34,65.57,58.19,83.24,68.7,79.19,71.57,62,50.24,67.93,59.65,84.9,67.42,63.24
India,Bihar,Jamui,"Calendar Year (Jan - Dec), 2021",3,78,1797,53.07,44.01,49.95,50.84,56.23,49.63,60.27,42.51,29.82,55.26,53.11,47.06,37.56,65.75,52.62,56.17,48.03,40.92,34.94,46.39,40.91,66.56,52.84,35.18
India,Bihar,Jehanabad,"Calendar Year (Jan - Dec), 2021",3,90,1716,59.69,53.35,58.02,61.5,63.69,61.82,67.46,47.45,41,62.63,63.55,56.91,42.35,71.33,55.59,65.56,56.54,51.48,41.41,51.93,49.03,70.88,59.34,46.63
India,Bihar,Kaimur (Bhabua),"Calendar Year (Jan - Dec), 2021",3,78,1776,61.3,53.97,67.42,59.33,64.01,63.89,74.45,56.5,39.53,63.48,67.92,57.47,39.87,67.38,50.19,66.38,57.85,46.92,38.56,52.31,50.11,82.31,61.71,46.58
India,Bihar,Katihar,"Calendar Year (Jan - Dec), 2021",3,78,1992,64.59,47.43,63.64,57.42,64.05,61.75,67.97,53.93,47.3,64.48,62.58,57.77,50.19,70.3,63.13,70.8,61.05,55.48,45.63,56.76,54.97,70.2,62.1,54.22
India,Bihar,Khagaria,"Calendar Year (Jan - Dec), 2021",3,78,1878,70.68,64.19,73.25,66.12,66.8,71.93,72.04,61.16,47.24,72.07,71.05,65.53,46.05,76.55,63.63,76.88,62.35,53.56,51.23,64.17,61.54,79.76,64.08,57.86
India,Bihar,Kishanganj,"Calendar Year (Jan - Dec), 2021",3,93,2118,54.9,56.84,57.32,50.46,56.66,58.89,59.68,47.72,36.34,55.55,55.03,52.1,44.47,61.83,48.62,55.6,49.53,43.51,43.11,47.91,47.43,65.26,52.9,45.02
India,Bihar,Lakhisarai,"Calendar Year (Jan - Dec), 2021",3,78,1656,48.5,40.24,51.56,45.95,53.3,50.35,56.27,37.15,32.95,52.49,56.05,50.34,39.83,62.34,48.89,57.88,50.7,32.66,34.32,42.64,41.02,60.94,49.89,35.43
India,Bihar,Madhepura,"Calendar Year (Jan - Dec), 2021",3,69,1680,52.4,53.4,57.65,46.18,58.07,59.36,62.51,46.27,39.92,60.81,59.72,52.18,39.75,64.04,53.94,62.15,53.02,50.87,40.02,50.64,53.09,67.17,57.5,47.39
India,Bihar,Madhubani,"Calendar Year (Jan - Dec), 2021",3,117,2616,59.84,50.99,55.52,60.81,63.81,64.15,65.94,51.73,40.78,63.59,62.42,56.52,49.4,71.3,61.55,65.54,54.15,47.73,41.59,51.5,55.6,70.08,56.65,53.97
